bench_iters,sign_ms,verify_ms
5,4.480400,3.981600
10,4.535000,4.046600
15,4.481867,3.966400
20,4.456050,3.951300
25,4.455400,3.987720
30,4.509600,4.083967
35,4.493743,4.095229
40,4.528850,4.018125
45,4.494422,4.019222
50,5.432960,5.526340
55,6.914527,5.823945
60,5.341450,4.422983
65,4.503585,4.011369
70,4.489043,3.988700
75,4.520133,4.010520
80,4.502362,4.010313
85,4.509859,4.009400
90,4.506033,4.018256
95,4.522284,4.001632
100,4.509430,4.002300
105,4.521790,4.004638
110,4.504373,4.012145
115,4.513139,3.996061
120,4.490050,3.993033
125,4.526752,4.005448
130,4.539654,4.001669
135,4.980400,4.517763
140,4.521064,4.000121
145,4.487393,4.016297
150,4.497067,3.995100
155,4.498606,4.001477
160,4.486475,4.000569
165,4.500764,4.001030
170,4.533671,4.018841
175,4.499617,3.991726
180,4.481344,3.996078
185,4.514362,4.040600
190,5.004332,4.599984
195,4.718103,4.396138
200,4.528110,4.008135
