bench_iters,sign_ms,verify_ms
5,0.027600,0.086000
10,0.026900,0.089200
15,0.026667,0.085667
20,0.026900,0.085850
25,0.027480,0.086880
30,0.027067,0.085567
35,0.026971,0.087914
40,0.026650,0.086850
45,0.027667,0.086622
50,0.026860,0.086460
55,0.027255,0.085764
60,0.026950,0.085983
65,0.026631,0.086292
70,0.026800,0.087014
75,0.026933,0.085493
80,0.026775,0.086062
85,0.027047,0.085553
90,0.026844,0.085689
95,0.027042,0.086611
100,0.026750,0.085930
105,0.026971,0.086133
110,0.027591,0.085627
115,0.026774,0.087200
120,0.026858,0.087117
125,0.027016,0.086848
130,0.026831,0.086046
135,0.026970,0.085844
140,0.026729,0.085950
145,0.027124,0.087007
150,0.026953,0.085727
155,0.026929,0.086026
160,0.026719,0.086281
165,0.026800,0.085867
170,0.026671,0.086318
175,0.027000,0.086251
180,0.026933,0.085833
185,0.027189,0.086827
190,0.027158,0.086784
195,0.026856,0.086713
200,0.026975,0.086245
